problemId,tags,rating,name,solved
1750:B,brute force+greedy+implementation,800.0,Maximum Substring,14402
1750:A,constructive algorithms+implementation+math,800.0,Indirect Sort,15067
1749:F,data structures+dfs and similar+trees,2800.0,Distance to the Path,358
1749:E,constructive algorithms+dfs and similar+graphs+shortest paths,2400.0,Cactus Wall,1210
1749:D,combinatorics+dp+math+number theory,1900.0,Counting Arrays,4175
1749:C,binary search+data structures+games+greedy+implementation,1400.0,Number Game,10321
1749:B,greedy,900.0,Death's Blessing,17216
1749:A,greedy+implementation,800.0,Cowardly Rooks,19833
1748:F,bitmasks+constructive algorithms,3000.0,Circular Xor Reversal,245
1748:E,binary search+data structures+divide and conquer+dp+flows+math+trees,2300.0,Yet Another Array Counting Problem,1225
1748:D,bitmasks+chinese remainder theorem+combinatorics+constructive algorithms+math+number theory,2100.0,ConstructOR ,2164
1748:C,brute force+data structures+dp+greedy+implementation,1600.0,Zero-Sum Prefixes,7599
1748:B,brute force+implementation+strings,1400.0,Diverse Substrings,11072
1748:A,math,800.0,The Ultimate Square,20428
1747:E,combinatorics+dp+math,2900.0,List Generation,370
1747:D,binary search+bitmasks+constructive algorithms+data structures,1900.0,Yet Another Problem,3605
1747:C,games,1200.0,Swap Game,15352
1747:B,constructive algorithms,900.0,BAN BAN,17819
1747:A,constructive algorithms+greedy,800.0,Two Groups,21381
1746:G,binary search+data structures+dp+flows+geometry+implementation+sortings,3500.0,Olympiad Training,66
1746:F,data structures+hashing+probabilities,2800.0,Kazaee,984
1746:E2,dp+interactive,3200.0,Joking (Hard Version),244
1746:E1,binary search+constructive algorithms+interactive+ternary search,2500.0,Joking (Easy Version),1103
1746:D,dfs and similar+dp+greedy+sortings+trees,1900.0,Paths on the Tree,3660
1746:C,constructive algorithms+greedy+implementation+math,1300.0,Permutation Operations,9838
1746:B,constructive algorithms+greedy+two pointers,800.0,Rebellion,14760
1746:A,constructive algorithms+greedy,800.0,Maxmina,17832
1744:F,math+two pointers,2000.0,MEX vs MED,1954
1744:E2,brute force+math+number theory,1900.0,Divisible Numbers (hard version),3715
1744:E1,brute force+math+number theory,1500.0,Divisible Numbers (easy version),7298
1744:D,greedy+math+sortings,1200.0,Divisibility by 2^n,14260
1744:C,binary search+implementation+two pointers,1000.0,Traffic Light,17282
1744:B,implementation+math,800.0,Even-Odd Increments ,19448
1744:A,greedy+implementation,800.0,Number Replacement,22341
1743:G,bitmasks+combinatorics+constructive algorithms+data structures+dp+hashing+math,3000.0,Antifibonacci Cut,173
1743:F,data structures+dp+matrices+probabilities,2300.0,Intersection and Union,1143
1743:E,binary search+dp,2400.0,FTL,1168
1743:D,brute force+dp+greedy+probabilities,1700.0,Problem with Random Tests,5906
1743:C,constructive algorithms+dp+greedy,1100.0,Save the Magazines,15602
1743:B,constructive algorithms+greedy,800.0,Permutation Value,19705
1743:A,brute force+combinatorics+implementation+math,800.0,Password,22366
1742:G,bitmasks+brute force+greedy+math+sortings,1500.0,Orray,6632
1742:F,constructive algorithms+greedy+strings,1500.0,Smaller,7512
1742:E,binary search+greedy+math,1200.0,Scuza,14366
1742:D,brute force+greedy+number theory,1100.0,Coprime,15317
1742:C,implementation,900.0,Stripes,22771
1742:B,greedy+implementation+sortings,800.0,Increasing,31454
1742:A,implementation,800.0,Sum,37778
1741:G,bitmasks+brute force+dfs and similar+dp+flows+graphs+shortest paths,2200.0,Kirill and Company,1059
1741:F,binary search+data structures+math+sortings,2000.0,Multi-Colored Segments,1664
1741:E,dp,1600.0,Sending a Sequence Over the Network,7103
1741:D,dfs and similar+divide and conquer+graphs+sortings+trees,1300.0,Masha and a Beautiful Tree,10715
1741:C,brute force+greedy+math+two pointers,1100.0,Minimize the Thickness,14047
1741:B,constructive algorithms+math,800.0,Funny Permutation,21442
1741:A,implementation+implementation+strings,800.0,Compare T-Shirt Sizes,24737
1740:I,data structures+divide and conquer+divide and conquer+dp+geometry+graphs+number theory,3500.0,Arranging Crystal Balls,51
1740:H,data structures+trees,3300.0,MEX Tree Manipulation,113
1740:G,constructive algorithms+dsu+sortings,3100.0,Dangerous Laser Power,131
1740:F,combinatorics+dp+math,2600.0,Conditional Mix,541
1740:E,constructive algorithms+data structures+dfs and similar+dp+greedy+trees,1800.0,Hanging Hearts,3103
1740:D,constructive algorithms+data structures,1500.0,Knowledge Cards,6043
1740:C,constructive algorithms+games+greedy+sortings,1400.0,Bricks and Bags,8288
1740:B,geometry+greedy+sortings,800.0,Jumbo Extra Cheese 2,12369
1740:A,constructive algorithms+number theory,800.0,Factorise N+M,16358
1739:F,bitmasks+data structures+dp+string suffix structures+strings,2600.0,Keyboard Design,374
1739:E,bitmasks+dp,2400.0,Cleaning Robot,910
1739:D,binary search+data structures+dfs and similar+graphs+greedy+trees,1900.0,Reset K Edges,3763
1739:C,combinatorics+constructive algorithms+dp+games,1500.0,Card Game,7087
1739:B,constructive algorithms+greedy+math,1100.0,Array Recovery,17110
1739:A,implementation,800.0,Immobile Knight,20146
1738:H,data structures+strings,3300.0,Palindrome Addicts,145
1738:G,constructive algorithms+dp+greedy+math,2900.0,Anti-Increasing Addicts,284
1738:F,constructive algorithms+dsu+graphs+greedy+interactive+shortest paths+trees,2400.0,Connectivity Addicts,954
1738:E,combinatorics+dp+math+two pointers,2300.0,Balance Addicts,1199
1738:D,constructive algorithms+data structures+dfs and similar+dsu+graphs+trees,1900.0,Permutation Addicts,2792
1738:C,dp+games+greedy+math,1500.0,Even Number Addicts,8110
1738:B,constructive algorithms+greedy+math+sortings,1200.0,Prefix Sum Addicts,11056
1738:A,greedy+implementation+sortings,800.0,Glory Addicts,12515
1737:G,binary search+data structures,3500.0,Ela Takes Dancing Class,75
1737:F,constructive algorithms+math+number theory,3300.0,Ela and Prime GCD,91
1737:E,combinatorics+dp+math+probabilities,2500.0,Ela Goes Hiking,743
1737:D,brute force+dp+graphs+greedy+implementation+shortest paths,2200.0,Ela and the Wiring Wizard,1582
1737:C,constructive algorithms+games+implementation+math,1500.0,Ela and Crickets,4617
1737:B,binary search+implementation+math,1300.0,Ela's Fitness and the Luxury Number,7617
1737:A,greedy+implementation+strings,900.0,Ela Sorting Books,8813
1736:E,dp+greedy,2600.0,Swap and Take,439
1736:D,constructive algorithms+geometry+greedy+implementation+strings,2200.0,Equal Binary Subsequences,1979
1736:C2,binary search+data structures+dp+two pointers,2400.0,Good Subarrays (Hard Version),980
1736:C1,binary search+data structures+schedules+two pointers,1300.0,Good Subarrays (Easy Version),11367
1736:B,math+number theory,1200.0,Playing with GCD,12687
1736:A,brute force+greedy+sortings,800.0,Make A Equal to B,19788
1735:F,data structures+geometry,2900.0,Pebbles and Beads,157
1735:E,constructive algorithms+data structures+graph matchings+greedy,2400.0,House Planning,879
1735:D,brute force+combinatorics+data structures+hashing+math,1700.0,Meta-set,4350
1735:C,dfs and similar+dsu+graphs+greedy+implementation+strings,1400.0,Phase Shift,7833
1735:B,greedy+math,900.0,Tea with Tangerines,15319
1735:A,constructive algorithms+greedy+math,800.0,Working Week,18141
1734:F,bitmasks+divide and conquer+dp+math,2500.0,Zeros and Ones,570
1734:E,constructive algorithms+number theory,2100.0,Rectangular Congruence,2278
1734:D,data structures+dp+greedy+two pointers,1800.0,Slime Escape,4779
1734:C,greedy+math,1200.0,Removing Smallest Multiples,13035
1734:B,constructive algorithms,800.0,"Bright, Nice, Brilliant",14365
1734:A,brute force+greedy+sortings,800.0,Select Three Sticks,18575
1733:E,constructive algorithms+dp+math,2700.0,Conveyor,863
1733:D2,dp+greedy,2000.0,Zero-One (Hard Version),3215
1733:D1,constructive algorithms+greedy+math,1400.0,Zero-One (Easy Version),9995
1733:C,constructive algorithms+sortings,1300.0,Parity Shuffle Sorting,11884
1733:B,constructive algorithms+math,900.0,Rule of League,16664
1733:A,greedy+sortings,800.0,Consecutive Sum,18838
1732:E,data structures+dp+math+number theory,2800.0,Location,283
1732:D2,brute force+data structures+number theory,2400.0,Balance (Hard version),1068
1732:D1,brute force+data structures+implementation+number theory,1500.0,Balance (Easy version),6161
1732:C2,binary search+bitmasks+brute force+greedy+implementation+two pointers,2100.0,Sheikh (Hard Version),1953
1732:C1,binary search+bitmasks+greedy+two pointers,1800.0,Sheikh (Easy version),4170
1732:B,brute force+dp+greedy+implementation,900.0,Ugu,11192
1732:A,brute force+combinatorics+constructive algorithms+implementation+math+number theory,1000.0,Bestie,11493
1731:F,brute force+combinatorics+dp+fft+math,2500.0,Function Sum,460
1731:E,dp+greedy+math+number theory,2000.0,Graph Cost,1938
1731:D,binary search+brute force+data structures+dp+two pointers,1700.0,Valiant's New Map,4924
1731:C,bitmasks+brute force+hashing+math+number theory,1700.0,Even Subarrays,6773
1731:B,greedy+math,1100.0,Kill Demodogs,13692
1731:A,greedy+math,800.0,Joey Takes Money,19913
1730:F,bitmasks+data structures+dp,2700.0,Almost Sorted,274
1730:E,combinatorics+data structures+divide and conquer+number theory,2700.0,Maximums and Minimums,444
1730:D,constructive algorithms+strings+two pointers,2200.0,Prefixes and Suffixes,2211
1730:C,data structures+greedy+math+sortings,1200.0,Minimum Notation,12865
1730:B,binary search+geometry+greedy+implementation+math+ternary search,1600.0,Meeting on the Line,9097
1730:A,data structures+greedy+sortings,800.0,Planets,19922
1729:G,combinatorics+dp+hashing+strings+two pointers,2100.0,Cut Substrings,1654
1729:F,hashing+math,1900.0,Kirei and the Linear Function,3318
1729:E,interactive+probabilities,1800.0,Guess the Cycle Size,5519
1729:D,greedy+sortings+two pointers,1200.0,Friends and the Restaurant,14406
1729:C,constructive algorithms+strings,1100.0,Jumping on Tiles,16150
1729:B,greedy+strings,800.0,Decode String,25155
1729:A,math,800.0,Two Elevators,31888
1728:G,binary search+bitmasks+brute force+combinatorics+dp+math+two pointers,2700.0,Illumination,301
1728:F,flows+graph matchings+greedy,3100.0,Fishermen,216
1728:E,brute force+data structures+greedy+math+number theory,2300.0,Red-Black Pepper,1348
1728:D,constructive algorithms+dp+games+two pointers,1800.0,Letter Picking,5418
1728:C,data structures+greedy+sortings,1400.0,Digital Logarithm,11942
1728:B,constructive algorithms+greedy,800.0,Best Permutation,18401
1728:A,brute force+greedy+implementation+sortings,800.0,Colored Balls: Revisited,22397
1726:H,binary search+geometry+implementation+math,3500.0,Mainak and the Bleeding Polygon,53
1726:G,combinatorics+data structures+greedy+sortings,3300.0,A Certain Magical Party,162
1726:F,data structures+greedy+schedules+shortest paths,2900.0,Late For Work (submissions are not allowed),131
1726:E,combinatorics+fft+math,2400.0,Almost Perfect,1137
1726:D,brute force+constructive algorithms+dfs and similar+dsu+graphs+probabilities+trees,2000.0,Edge Split,2979
1726:C,data structures+dsu+graphs+greedy,1300.0,Jatayu's Balanced Bracket Sequence,10218
1726:B,bitmasks+constructive algorithms+math,1100.0,Mainak and Interesting Sequence,12982
1726:A,greedy+math,900.0,Mainak and Array,16486
1725:M,dp+graphs+shortest paths,1800.0,Moving Both Hands,1851
1725:L,data structures,2400.0,Lemper Cooking Competition,609
1725:K,data structures+dsu,2500.0,Kingdom of Criticism,392
1725:J,dp+trees,2500.0,Journey,254
1725:I,combinatorics+dsu+trees,2800.0,Imitating the Key Tree,130
1725:H,constructive algorithms+math,1800.0,Hot Black Hot White,1791
1725:G,binary search+geometry+math,1500.0,Garage,4003
1725:F,bitmasks+data structures+sortings,2100.0,Field Photography,738
1725:E,combinatorics+data structures+dp+math+number theory+trees,2500.0,Electrical Efficiency,256
1725:D,binary search+bitmasks+math,2900.0,Deducing Sortability,88
1725:C,binary search+combinatorics+geometry+math+two pointers,2000.0,Circular Mirror,1080
1725:B,binary search+greedy+sortings,1000.0,Basketball Together,7691
1725:A,math,800.0,Accumulation of Dominoes,7980
1722:G,bitmasks+constructive algorithms+greedy,1500.0,Even-Odd XOR,7289
1722:F,dfs and similar+implementation,1700.0,L-shapes,5070
1722:E,brute force+data structures+dp+implementation,1600.0,Counting Rectangles,7364
1722:D,greedy+sortings,1100.0,Line,17669
1722:C,data structures+implementation,800.0,Word Game,23493
1722:B,implementation,800.0,Colourblindness,32641
1722:A,implementation,800.0,Spell Check,33725
1721:F,brute force+constructive algorithms+dfs and similar+flows+graph matchings+graphs+interactive,2800.0,Matching Reduction,270
1721:E,dfs and similar+dp+hashing+string suffix structures+strings+trees,2200.0,Prefix Function Queries,1440
1721:D,bitmasks+dfs and similar+divide and conquer+greedy+sortings,1800.0,Maximum AND,4927
1721:C,binary search+greedy+two pointers,1400.0,Min-Max Array Transformation,10714
1721:B,implementation,1000.0,Deadly Laser,18442
1721:A,greedy+implementation,800.0,Image,23490
1720:E,constructive algorithms+data structures+greedy+implementation+math,2700.0,Misha and Paintings,610
1720:D2,bitmasks+data structures+dp+strings+trees,2400.0,Xor-Subsequence (hard version),1418
1720:D1,bitmasks+brute force+dp+strings+trees+two pointers,1800.0,Xor-Subsequence (easy version),4730
1720:C,greedy+implementation,1200.0,Corners,13813
1720:B,brute force+data structures+greedy+math+sortings,800.0,Interesting Sum,18654
1720:A,math+number theory,900.0,Burenka Plays with Fractions,18604
1719:C,binary search+data structures+implementation+two pointers,1400.0,Fighting Tournament,10766
1719:B,constructive algorithms+math,800.0,Mathematical Circus,17176
1719:A,games+math,800.0,Chip Game,22678
1718:F,data structures+math+number theory,3300.0,"Burenka, an Array and Queries",74
1718:E,constructive algorithms+graphs+implementation+math,3500.0,Impressionism,73
1718:D,data structures+graph matchings+greedy+math+trees,3300.0,Permutation for Burenka,180
1718:C,data structures+greedy+math+number theory,2400.0,Tonya and Burenka-179,1188
1718:B,greedy+implementation+math+number theory,2000.0,Fibonacci Strings,2272
1718:A2,data structures+dp+greedy,1900.0,Burenka and Traditions (hard version),3941
1718:A1,dp+greedy,1800.0,Burenka and Traditions (easy version),4407
1717:F,constructive algorithms+flows+graph matchings+graphs+implementation,2500.0,Madoka and The First Session,399
1717:E,math+number theory,2200.0,Madoka and The Best University,1939
